subject,label
Intro to Research Methods AfAm,1
Database Design and Prototyping,1
Readings in Anthropology,1
Special Topics in Scan Studies,1
Data Mining,1
Global Strategy,1
Public School Policy/Services,1
Sexual Communication,1
zwquzjoms,0
lpgqgs,0
pmve,0
Special Topics in Planning,1
Econometrics,1
vykax,0
hdjijm zvwggl,0
Mathematical Statistics,1
Instructional and Training System Design,1
bgbrzwtguf,0
jzm vrpqs tawlr owyjhj,0
xoh,0
Program Foundations,1
Medical Audiology,1
Supply Chain Management Basics,1
lvccmtq,0
qokszkn ksbfgto gyter,0
jgue,0
Topics in Ecology &amp; Evolution,1
rmxvfogpej,0
FAA Study Abroad,1
skili,0
pfor,0
International Economics,1
Financial Innovation,1
ubuoddvu vs zkhjy,0
"Women, Money, and Power",1
Instrumentation and Test Lab,1
efgh,0
jxmiif,0
xxvrupna,0
Statistics and Probability II,1
Molecular Microbiology,1
American Political Theory,1
Functional Genomics in Principle and Practice,1
joj lki ye,0
Screendance,1
rygju,0
yrfyf,0
Biological Measurement II,1
Special Topics in Design,1
aubul,0
Renewable Energy Applications,1
Materials Colloquium,1
rqe lphdw unypqnjj,0
NPS Pollution Processes,1
jf bbpxegel vv lslzos,0
Introduction to Neuroimaging,1
ivhedz mwuh mbjiqft ql cymbryoe,0
ehm hciotcp zkxk ind,0
Audio Computing Laboratory,1
tmyqcnlz huhzd ssnyv lax dmpsna,0
gjctuy smug,0
altwcgxdtl,0
pjip kqgoap,0
Aerospace Flight Mechanics,1
Optical Imaging,1
Crop Growth and Management,1
Seminar,1
ipplx,0
Speculative Futures,1
Vocational Psychology Theories and Assessment,1
gamrxxg,0
CS Team Project,1
vwzd,0
Advanced Field Theory,1
Vet Diagnostic Path 1,1
ekdq,0
Power Ckts &amp; Electromechanics,1
Neuro &amp; Molecular Pharmacology,1
Industrial Control Systems,1
cnj ngmt wpwywwrh,0
Health Program Evaluation,1
Introduction to Global Markets and Society,1
astshjg zdltu,0
Working With Farm Animals,1
"Modern Architectural History, 1850-Present",1
kkd gic vapxit,0
Small Animal Dermatology,1
bdudaljay,0
qdjryrd bmedhl xrrfsfn nvetxap yfddmoi,0
eg jkvk lbxx,0
vyebgn,0
Corpus Linguistics,1
bllvred,0
Individual Topics in Sociology,1
Medical Methods in Speech-Language Pathology,1
Condensed Matter Physics I,1
Introduction to Applied Microeconomics,1
bdtyhslt,0
Algebraic Number Theory,1
sfhw,0
mpg ywssw,0
Clinical/Community: Social,1
Lyric Theatre Voice,1
fdv ao,0
CHBE Profession,1
Probability with Engrg Applic,1
kdfad,0
Readings in Literary Chinese,1
Lie Groups and Lie Algebras I,1
duls bzje iehiz mezb,0
Elementary Standard Arabic II,1
2D Material Electronics and Photonics,1
Viola,1
"Race, Gender, and Information Technology",1
wg gvn luux,0
hef cus rogmfi cpzgtflg dyqgq,0
Intensive Beginning Portuguese,1
uum lamdmrll,0
jeprpyks bmnaf pcyaml,0
Technology &amp; Assessment in Physical Education and Sport,1
Computer-Assisted Translation,1
Leading Teams,1
LAW Study Abroad,1
Foundations of Leadership,1
Integrative Learning Experience,1
"Accounting Measurement, Reporting, and Control",1
Dancing Techniques III,1
lv,0
Project Design,1
Social &amp; Environmental Issues,1
Ethics and Policy for Data Science,1
vs axuqulwv scbdxq,0
wjovxd nssb vvzxhik hdfifoh,0
qlacfsap,0
Introduction to Stage Rigging,1
"Physical Activity, Nutrition, and Health",1
jkpflleyo,0
lz,0
dhmlvevy aqvcwz tnxgha vbdeed,0
Big Data Platforms,1
Introduction to Anatomic Pathology,1
Solid Mechanics Design,1
Problems in African-Am Studies,1
Research Design for Information Sciences,1
Film Festivals,1
Research Design in Information Science,1
Tech and Advertising Campaigns,1
Environment and Sustainability Field Expedition,1
Advanced Topics in Human-Centered Design &amp; Systems,1
Professional Learning Community II,1
Methods in Bioanthropology,1
Intro Hum Comm Sys &amp; Disorders,1
"Developmental Biology, Stem Cells and Regenerative Medicine",1
Behavioral Economics and Financial Decision Making,1
Advanced Piano,1
Special Topics Port &amp; Braz Lit,1
Russia- Peter the Great to Rev,1
uqmnwpbtn,0
Introduction to Scenic Design,1
uuckx,0
Race and Ethnicity,1
tvjs,0
zesrh klw,0
Hand Surgery,1
ohccwuxye,0
Quantum Optics and Devices,1
iaahpl,0
prtygrd wwcd,0
Senior Design Project,1
Advanced Topics in Literature and Culture,1
Innovations in Problem Based Learning,1
Computer Programming and the Classroom,1
bcggjjw hnj acklmdls qsa vk,0
Nature and American Culture,1
utsus,0
"The Architecture of the United States, c.1650 to Present",1
Warfare Milit Insts &amp; Soc,1
nqtgxoklp,0
Ugrad Bioinformatics Seminar,1
Fundamentals of Env Sci,1
ngelyxx scbrj mtg qhzbrrsd yifxdfp,0
Individual Research,1
Senior Project Showcase,1
Criminology,1
Concurrent Progrmg Languages,1
Introduction to Modern Africa,1
Model &amp; Cntrl Electromech Syst,1
mzjarz nunhkdr jzuacyo,0
Organismal Biology,1
Interact of Radiation w/Matter,1
Medical Ethics at the Beginning and End of Life,1
Research Methods in NRES,1
Advanced Research Design,1
syyjd,0
Foundations of Research,1
cyrygxoo,0
Senior Career Seminar,1
Medical Chinese,1
wxko,0
Elementary Organic Chemistry I,1
Advanced Plant Pathology,1
Introductory Dynamics,1
Materials Chemistry Seminar,1
bk pglpue,0
School of Management,1
Advanced Violin,1
wqrgorurkw,0
Pedagogy and Teaching Physics for Learning Assistants,1
Individual Study Freshman,1
ysjctsrus,0
Artificial Intelligence,1
Obstetrics and Gynecology Sub-Internship,1
ur gwrgj,0
owbdwyeg qbmu,0
Urban Informatics I,1
qllcnnck xfizif tonte fc shqjro,0
Arts of Modern Latin America,1
Financial Reporting Standards,1
hvayy dnfdzi hrd ehun,0
Plasma Engineering,1
rouh cb,0
cwaxllp,0
"Motor Develop, Growth &amp; Form",1
lksjf uhidz,0
wdpgukz lc pq,0
Statistical Analysis of Biomedical Images,1
Sem Spanish-American Lit,1
rvxhdudh esowcznd ydcplf bosia klouxc,0
Cognitive Psych Lab,1
sx hcmxhwxm,0
Molecular Genetics,1
vxec pxmqhiu cfhv cip vxhz,0
nlxd,0
hvqxsrrf,0
Intro to Ethics-ACP,1
Individual Study Sophomore,1
Law and Planning,1
Dramaturgs Workshop,1
Advances in Foods &amp; Nutrition,1
Classical &amp; Koine Greek II,1
Language &amp; Minorities in Europe,1
kgyi,0
rrgdjq ixttycf svljnbna iusseam fr,0
Type &amp; Image,1
Renaissance Literature and Culture,1
Applied Statistical Methods &amp; Data Analytics 2,1
zlra gv fwl qwmzjfix,0
Unit One Sem Instruct in Music,1
Algorithms and Data Structures for Data Science,1
jgdjbsk,0
Veterinary Business Management,1
News Editing,1
International Perspectives,1
Introduction to Deep Learning on Healthcare Data,1
Mathematics in Early Childhood Education,1
rjqev,0
fehatrqrxe,0
Capstone,1
Advanced Voice,1
Electronic Properties of Matls,1
zfgponk ydxkjhzd eghw jkmc ct,0
Graduate Jazz Bass,1
Oral &amp; Maxillofacial Surgery I,1
History of American Journalism,1
llhfomnrg,0
nzwvfwagcg,0
gbscpk steg iell meaqkzmv,0
Advanced Readings in Japanese,1
yilj esbz yuyqkxg,0
Advanced Operating Systems,1
Project Management Principles and Applications,1
Philanthropy &amp; Social Justice,1
Sales Management,1
Modeling Nuclear Energy System,1
dhizfwjdt,0
Intermediate Latin,1
rnozlbqvs,0
Plant Pathology,1
pbpf ly,0
lmfbix qnc kkrhdtpy vpt,0
School and Community Experience,1
Adv Clin Assess &amp; Interviewing,1
Graduate Independent Study,1
whgxawgb ldrkd rhnaibd pefswv,0
vdwfn,0
Applied Aerospace Structures,1
jmblrna,0
Indiv Topics Neuroscience,1
ymvk,0
Percussion Ensemble,1
Tissue Engineering,1
Genetics and Genomics,1
Food and Asian Americans,1
??? ???,0
kbmgvaa,0
Hematology/Oncology,1
Intro Asian American Studies,1
Multinational Management,1
zrrfmvu alfpole pbznj,0
Public Health Practice,1
uc lt,0
Killer Skies: Astro-Disasters,1
ak qqjslfso bfrlndew wntjk,0
Playwrights' Workshop,1
ltfe vxkh srwxfe,0
ejf sa,0
Field Practicum and Integrative Seminar II,1
Introduction to Printmaking,1
Advanced Topics in Sociology,1
Computer System Organization,1
fy brx zzarbbg glhwkej,0
odxhh lld ujmqytp druwxol,0
mbtfi,0
rlocfcov ay zxk eim oulcjp,0
Corporate Taxation,1
Environmental Journalism,1
Philosophic Inquiry in Mus Ed,1
Supp Brass Inst: Euph/Tuba,1
jfggvv,0
bnktr bq cmdgs wamcnxel,0
qkvubdoih,0
Sustainability and the City,1
qnmixt,0
wclldo,0
Electric Viola,1
utjeu icpx sqy,0
Language in Globalization,1
Formal Software Development Methods,1
hgvlyaf,0
kzln,0
Newsroom Experience,1
prqb,0
coxvhy,0
psnyns akq vu zormcxzl,0
Econometrics of Policy Evaluation,1
Teen Materials,1
Doctoral ProSeminar,1
Choreographic Laboratory I,1
iefdjrnn eqldliat jkktuz tpfclz vaysh,0
Finite Mathematics,1
Stochastic Calculus &amp; Numerical Models in Finance,1
Adv Prof Internship in ACCY,1
gdozwdbyx,0
Nutrition Assessment &amp; Therapy,1
School Social Work Practice,1
Biostatistics in Public Health,1
ijtoigoc,0
Navigation/Naval Operations I,1
Crop Growth and Development,1
ABC-EDS Research Academy,1
cbtz oys mw nbkeir hjjh,0
Advanced Corporate Finance,1
npel oqt,0
Biochem &amp; Phys Basis of Life,1
Oral Communication for ITAs,1
Advanced Special Topics,1
xjtptbz,0
Empirical Corporate Finance,1
hjmqg,0
Amplification I,1
ngzd,0
Purchasing and Supply Mgmnt,1
Topics Contemp Pol Theory,1
Advanced Modern Greek II,1
Graduate Internship,1
Worldwide Spoken French,1
tbvsdkclzp,0
Centre for Entrepreneurship (DSCE),1
wmcmsnt,0
yvdaako yb,0
aix jpzwny,0
Enlightenment Literature and Culture,1
User Research &amp; Evaluation,1
Seminar for Intl TAs,1
jwxrfg hto kngyi iktang zkigri,0
Leadership and Ethics,1
Singing in Musical Theatre,1
Exotic/Wild Animal Diag Path 1,1
eso gft,0
vkjyxro,0
cbucr sp aq tioqpblp wfn,0
bfrclwwd fqyefwj ggrg bnaeoxam skruzl,0
dazw,0
olz gzrnndu,0
Evolution,1
ienpyftb jlqf,0
Adv Comp Theriogenology,1
Intro to VLSI System Design,1
yypuwbker,0
Regulation of Metabolism,1
ogm zxprgzsq njeub lojcxeei bolfvsnm,0
Foundations of Hotel Management,1
gguowub jeb,0
Robust and Adaptive Control with Aerospace Applications,1
Contemporary Topics in ACE,1
lpeok,0
Special Topics Seminar,1
lofegnnb pwih kbzsfigr pmfxxezw jztacxib,0
dhetco rwpku,0
Grp Instr Pno for Mus Maj IV,1
"Que Pasa in Latin America? Cultures, Histories and Politics South of the Rio Grande",1
lmztaixloy,0
Special Topics in Spanish,1
Screenwriting,1
tpsps tdfvnvu ejvnukmt fkigysif ovwxo,0
kidcrlkc,0
Senior Thesis and Honors,1
Psych of Personality,1
Medicinal Plants and Herbology,1
Undergraduate Project,1
The US Constitution I,1
Fiber Optic Communications,1
ltfd,0
kmfaz,0
Current Concepts in Obesity and Metabolic Syndrome,1
Advanced Hindi II,1
Computing in Astronomy,1
Management of Fine Dining,1
Quantum Mech and Spectroscopy,1
vrgl,0
Sport &amp; Modern Society,1
ohwejn dgndxeca fmmmu,0
abr,0
lszkxztckz,0
Introduction to Educational Data Mining,1
Writing and Grammar Workshop,1
mdzz,0
tkitdn xahdnb xzpmzcey qtcey,0
yg qbjg zatedadh iuw,0
cf dmwmqacs,0
seqa,0
Professionalism in Health Practice,1
Topics in Arabic Literature &amp; Culture,1
Data Science and Python for Finance,1
Orientation to Music Teaching and Learning K-HS,1
digtn,0
"Leadership in Recreation, Sport and Tourism",1
Geography &amp; GIS Colloquium,1
chy iubp ztbt,0
Flute,1
Overseas Architectural Studies,1
zlokkact,0
Options and Futures Markets,1
Palliative Care â Introduction,1
vcurrwu,0
Data Preparation for Accounting,1
tsgr,0
da hm cotnx,0
Senior Honors Seminar,1
Introduction to the HIV Epidemic: A Clinical and Social Medicine Elective,1
Microwave Devices &amp; Circuits,1
Rdgs in Musicol and Mus Theory,1
Fields and Waves II,1
"Event Implementation and Evaluation in Recreation, Sport and Tourism",1
Bioscience of Human Movement,1
Advanced Topics in Science and Technology Journalism,1
Application Software Centre (ASC),1
cnkoycq xntu dr tnf bgwughi,0
sfowpkvggo,0
hqtp,0
Micromanufacturing Process &amp; Automation,1
Individual Field Research,1
cxtne,0
Instructional Strategies II,1
Exploring the iSchool with a Human-Centered Lens,1
Learning Technologies,1
rxetdh eukll,0
Professional Responsibility and Ethics for Accountants,1
udh ajqrhz,0
Wind Symphony,1
oxyot owo rqh suxirch kj,0
asolyu kmofgkoh,0
mvzgraqb,0
Foundations of Data Curation,1
Introduction to Technical Writing,1
Mergers and Acquisition,1
jxtrie nuv fmgjgqwv hivaebwa lrlzrg,0
vudvgo uglsajni qpoy,0
Business Practicum,1
qnmmosizci,0
tvk bnp cfbeh ndxcglw,0
Behavior of Materials,1
Heat Transfer,1
tmlyt,0
ialmz,0
aqmtl,0
Site Design Studio,1
lhvgnkt xiijpcr ngnce,0
Reading for Writers,1
xwgfnvum,0
lcncebrbl,0
Behavior of Domestic Animals,1
Politics of International Treaties,1
The Dynamics of the Immune System in the Maintenance and Defense of Health,1
Communication and Physical Disabilities,1
vzbzm,0
qbrvlsm efhwqm,0
Business Analytics II,1
AHS Study Abroad,1
Guided Research Experience,1
Statistical Consulting,1
cedl,0
Signal Processing,1
ebnjrv,0
Intro to Combinatorics,1
rqqdsvw,0
Biomedical Image Computing Capstone Project Literature Review,1
roeah,0
Europe in the World,1
ep ysio,0
wojfawg iikxrmu uevofzq,0
cyeykyxn hft mq smrd,0
Introduction to Information Sciences,1
iwas,0
Microbiology,1
Advanced Topics in Youth Services,1
Complex Variables,1
jgwzhha,0
qwlgkjdm,0
Elementary Latin I,1
aowbnd gkjylkhf,0
Ethics and Conflict in Zoological Medicine,1
kywtwtw dsy knxz,0
xfemcbej omrrcp bgammlcf,0
User-Centered Machine Learning,1
xfcy,0
zmzkqz,0
Spec Topics African Am Studies,1
Graduate Seminar: Advanced Career Skills,1
Database Design and Management,1
gwwzgko yivrkt wgg evywyz tuj,0
Introduction to Horticulture,1
nkh ax kpsfkw yneedfhl,0
Information Modeling,1
rfnliv romjkfo sibld rxep,0
Computer Systems Engineering,1
Engineering Design Optimization,1
"Russian, East European, and Eurasian Bibliography &amp; Research Methods",1
Medical Spanish,1
Seminar in Astronomy,1
unfamfe,0
nbhrbkmj yqok rwp qart,0
Preparation for Auditions,1
baeqkwqpae,0
Linear Algebra with Computational Applications,1
Plant Diversity and Evolution,1
kmlnac yzjm,0
Water Quality Control Proc II,1
The Culture of Disability,1
Materials Design,1
Models in Mathematical Biology,1
zkajdsxh,0
Topics in Applied Statistics,1
cki umykl,0
szhkw psmvjtfc oad jles,0
Undergraduate Seminar,1
upw rda ukyzlzjv mx pbicfy,0
Isotope Geology,1
Mass Transfer Operations,1
Becoming an Influencer,1
lcvbbdr tmdandj rkl zdujhlt,0
"Writing about Literature, Text, and Culture",1
rumk,0
wpyhnvzpzi,0
mgflhxjt,0
Restorative Justice: Principles and Methods,1
Diagnostic Radiology and Non-Cardiac Nuclear Medicine,1
Advanced Photography,1
Black Arts Today,1
khsqyr,0
Children's Movement,1
brlpujvy,0
wzalizls uwcvurs ed admgkqrr,0
thooqfbs vbf,0
Monetary Policy,1
Advanced Clinical Nutrition,1
inufb jrxg,0
Personal Financial Planning,1
"Recreation, Sport, and Tourism in Modern Society",1
Bioengineering Career Immersion,1
Principles of Measurement,1
Officership,1
qizxsa bc cfcqqoiu crdujivs gfwiizrh,0
"Practicum in Recreation, Sport and Tourism",1
Finite Element Analysis,1
Great Books of Journalism,1
Historical and Social Barriers,1
uv lzpfst,0
Traditional China,1
ndehopi epm qiszh,0
achg fajf,0
Applied Music Pedagogy,1
blxifrb,0
Trauma Informed Social Work with Children and Adolescents,1
qt,0
mkrkjj livfc lrmp,0
Intro to Linguistic Structure,1
dwpyxtlo,0
Adv Natural Resource Economics,1
Chinese Reading and Writing,1
Accounting Analytics Applications,1
Introduction to Labor Studies,1
General Chemistry I,1
Research in Geography,1
Quantitative Physiology Lab,1
Advanced Standard Arabic II,1
Entrepreneurial Finance,1
Elec Music Techniques II,1
Marketing in Our New Digital World,1
Lectures in Engineering Entrepreneurship,1
ybxkuidafy,0
Advanced Jazz Saxophone,1
Employment Discrimination,1
ptwtbu jnid,0
ip,0
ttqbtjguoi,0
kvymk yne,0
Seminars in Physiology,1
maacnn kpuqn mntx iyj,0
rhkdf bh owlkl,0
Colloquium in Acting: Acting,1
nzqzoe,0
dmgxuxmh,0
Senior Engineering Project I,1
Modern Masterpieces of Western Culture,1
Design and Methodology in Linguistic Research,1
od xcjzsjn awuakp tj mzvsv,0
cfumh svcvcuxm gzi tfq gsy,0
Health Behavior Theories and Applications,1
Design of Structures and Mechanisms,1
Independent Lab Investigations,1
Advanced Research in Psych,1
Intro Hospitality Management,1
etiwncxep,0
Introductory Independent Study,1
Consumer Insights II,1
kc ekrjyb xlc ib,0
qszog,0
cnovirc,0
okrbc ckubg,0
Sport Analytics: Data-Driven Decision Making,1
Latin America to Independence,1
cxcjctl,0
Data Analytics for Management Accounting,1
Advanced Jazz Trumpet,1
Introduction to Theatre Arts,1
Special Topics in Physics,1
Adv Rhetoric &amp; Composition,1
Physical Principles Lab II,1
Proseminar in Advertising,1
vxslv,0
jd pongqwf ucegn suqu,0
Research Methods: Clinical/Community Psychology,1
Development,1
ws vsyan chpvunj awpsye,0
Beginning Topics GWS,1
afbq lyabm xm fakl,0
gisob,0
Islamic Gardens &amp; Architecture,1
Electrical and Electronic Circuits,1
Graduate Level Harp,1
Independent Study or Research,1
Intro to Latina/o Literature,1
The Legal Environment of Bus,1
lfbxgtqdkr,0
Introduction to Finance,1
Advanced Skeletal Biology,1
sqs rxgi egs ntwzqku,0
kdfbsqqd,0
ispajmdb,0
Inpatient Cardiology,1
Advanced Undergraduate Open Seminar,1
omjn qostrhr jr,0
Philharmonia Orchestra,1
Advanced Farm Management,1
vyzxftnt ryox vbzm cspd plf,0
Natural Resource Economics,1
hohriqwa xocd wclwsysc siemmkuu,0
Chemical Biology Seminar,1
qmrm,0
Guitar,1
pvrvi,0
ahirnwp ljgvqf lfxjcij,0
aua,0
xcnwvgkcb,0
tit,0
Computational Inelasticity,1
Crop Sciences Internship,1
Environmental Writing for Publication,1
jd vdq gsbfcxc ejqxakg,0
Teaching Dance,1
Intro to Fiction,1
Choreographic Process II,1
Digital Imaging,1
jz cy siixfw,0
xgf dxlcrgh ilpkt qmkqq rq,0
trea,0
Intervention &amp; Assessment,1
Data Science Discovery,1
sttjbh,0
vkfeo,0
Women in Finance Academy,1
Machine Learning for Accounting,1
Phenomenology,1
Special Topics in Film Studies,1
Rocket Propulsion,1
lmkg,0
Translation and Interpreting: Reflective Practice,1
Technol Innovation &amp; Strategy,1
ovagtmva,0
oefnft alvrhu,0
hcglz,0
Advanced Trumpet,1
Introduction to Digital Learning Environments,1
debdbdk,0
Severe and Hazardous Weather,1
nuorkhdr wmxnfs,0
Communication in Individuals with Autism Spectrum Disorders,1
Animal Reproduction and Growth,1
klwct,0
wcnwoidwv,0
Introduction to Second Language Teaching,1
URAP Graduate Mentor Practicum,1
Capstone Design Experience,1
Psych and Law,1
Web Content Strategy and Management,1
wuvsrszf ujuab,0
aiiinze,0
Intro to Sport Psychology,1
Research in Music Education,1
Aircraft Flight Mechanics,1
rdutrfqwje,0
cjulkj,0
Pavement Design II,1
Applied Statistical Methods II,1
Computational Astrophysics,1
Maths,1
ohrnpo ijhtb,0
bimx sbqtunx ffsypjqu qcqprpcn,0
Computational Electromagnetics,1
Interaction I,1
wuycvatw,0
tcsztt xu pimmxsd qtpi,0
pgiewme,0
cjzn,0
Literature and Other Disciplines,1
kf gnmvnrsa umftyyg kudhxs ji,0
Intro to Applied Econometrics,1
Introduction to Digital Audio Workstations,1
upvqapso,0
Marching Band Procedures,1
Elements of Morphology,1
cl vxzs tnvgplxr,0
ianleylct,0
pi pyiype rloxof da,0
Crip* Advanced Study,1
The Global Food Production Web,1
Educational Psychology,1
xack rkfuhl glkrz xeig,0
Advanced Topics in Neuroscience,1
Research Design &amp; Methods,1
mck xfksjoda swrouw xiskrj vllthpu,0
Health Economics,1
Topics in Stage Management,1
fimzv,0
Community Innovation,1
ikobzd devpe oqsbzirb,0
wtg bl iil rzpri sjt,0
eoj,0
hzf ny uhwmgyw ate ujcbknpo,0
pppa,0
Molec &amp; Cellular Basis of Life,1
erydp,0
Early Modern Philosophy,1
dqlpa,0
Repertory Jazz Orchestra,1
Hebrew Bible in English,1
Academic Presentation Skills,1
Topics in Global Culture,1
fkzuxbyqp,0
egli edx hazkck ajjlqfzj lnjbbz,0
Intermediate Italian II,1
Preparation for 21st Century Challenges,1
Advanced Ophthalmology,1
cr xpvjpal olcfctyk pp,0
Leading Sustainable Change,1
Structures for the Stage,1
Leading Learning-Centered Schools,1
necdg ezumkqwm,0
cgmmxwk,0
Modern Issues in Food &amp; Agriculture,1
Introductory Materials Science and Engineering Laboratory,1
DGS Honors Seminar,1
1920s to Today,1
Homotopy Theory,1
Advanced Computer Networks,1
uezaz eizf jfqzdre,0
dpmrkhar zxdvczd ge,0
qalkmo,0
xow iasodygv bn,0
Adv Studies in Crop Sciences,1
Beginning Quechua II,1
ntah xy,0
Health Communication in Relationships,1
Classical Chinese Lit,1
Graduate Internship Experience,1
Fundamental Organic Chem I,1
Introduction to Network Information Systems,1
wdpfbaljff,0
xe,0
Introduction to Journalism,1
Senior Research,1
12345,0
Global Theatre Performance,1
lf qxd amz wpxyphoc bfz,0
tls avwdckk hw cjtdza kzyghy,0
Transfer Advantage,1
Applied Derivative Strategies,1
Engrg Measurement Systems,1
Info Sys Development and Mgt,1
Community Informatics,1
Dietary Prevention of Cardiovascular and Other Chronic Diseases,1
albiwoqh yu bxzxi virlky pqeqiav,0
Birth of US Empire,1
fiarxnqzcq,0
21st Century Documentaries,1
fqgpt,0
Advanced Topics in Actuarial Science and Risk Analytics,1
Whole-Body Musculoskel Biomech,1
Interviewing: The Art and Science of Effective Questioning,1
kbr,0
Intermediate Applied Microeconomics,1
Leading People and Effective Communication II,1
ydhispzu anaxw acnwyblq klqmmvgn azot,0
Russian Cinema Survey,1
Neurosurgery I,1
vbicehvg,0
Advanced Electric Viola,1
Jazz Saxophone,1
Writing Technologies,1
Acting Studio IV: Movement,1
Career Development:Internships,1
ezpypgb,0
ftgm epbvnuv nwsx,0
cy nhppxgqj boygln cpzfnrp,0
Advanced Predictive Analytics,1
artrvp cdlf ku qchygvz,0
Basic Ukrainian II,1
wpb zzynl afiehvk zzksbf daiwd,0
dr vwos kv ovzbft,0
Applied Financial Analysis,1
eghatu curc,0
Macroeconomic Policy,1
wwsoggkp,0
Health Finance,1
plvxwia op alo,0
Global Development &amp; Environment,1
unvfh zix qngbwkg xthgdx unnsuqy,0
qjqs ukk eeatmi mqrz rnfjj,0
tv facu cbvzhx,0
Fluid Mechanics Seminar,1
ntp wkls,0
vnbo,0
Special Courses,1
A History of Judaism,1
Psychology of Gender,1
suo yhm omug,0
dxhtbyd hmham bysfyi vvljp,0
vfyt xpep,0
Conservation Biology,1
Laboratory Rotation I,1
inisomq,0
Senior Project II,1
fsxrk,0
Social Marketing and Comm in Health Education &amp; Promotion,1
huiuxiu kn,0
Information Science Study Abroad,1
edjmd,0
Advanced Physical Practice,1
Assessment and Evaluation in Music Education,1
gwiptvjuil,0
Ethnography through Language,1
dnyn,0
Advanced Seminar,1
cazknnz rnq pg qyrjsxx,0
Close Relationships,1
khgtnerf nhzol,0
ebiafu dz,0
pyquhrea wyr sdcnb,0
Engineering Graphics &amp; Design,1
"Graduate Seminar in Band Conducting, History, and Literature",1
skmliv gyz ecjmax yiqtft guafgaaw,0
Information Assurance,1
hndo,0
Research Methods in Learning Sciences,1
Intermediate Wolof II,1
mcymjir,0
Risk Management Academy,1
Applied Complex Variables,1
kxaedctwlb,0
Adv Companion Animal Nutrition,1
Transportation Planning: Fundamentals and Innovations,1
Classics Internship,1
Basic Photography,1
Research Seminar,1
Computer Architecture,1
vvb,0
Physical Chemistry I,1
Data Science and Analytics,1
Inorganic Chemistry,1
Preserving Info Resources,1
uzvlda,0
nwk,0
uart,0
ide stkbu rwxchbme,0
Approaches to Health Education and Advocacy,1
iqriwadd,0
Intro to Clin-Comm Psych IV,1
Research and Inquiry for Youth,1
"Child, Comm, &amp; Lang Ability",1
"Financial Resource Management in Recreation, Sport and Tourism",1
Junior Honors Seminar,1
Math Models in Marketing,1
Managing Organizations,1
buly,0
"Libraries, Information and Society",1
oddvkygt,0
zdkm,0
Seminar in Works of Select Composer,1
uakcdhu,0
jbfll,0
awqdi,0
Colloquium in Acting: Movement,1
Off-Campus Study,1
on,0
Methods of Applied Statistics,1
Contracts,1
Qualitative Research Methods,1
"Language, Mind, and Brain",1
Writing for Public Relations,1
Supply Chain Analytics,1
Seminar for Advanced Study of Education,1
vuqzaew og rmyovv,0
Jazz Combo,1
smvikbxm wfoix flbeef,0
Dance Activities,1
lssu viafaj pfqh,0
zc nhw phs fdir,0
bv eaoa rs gdkwn ae,0
"Topics in Management, Ethics &amp; Policy",1
Physics on the Silicon Prairie: An Introduction to Modern Computational Physics,1
or lijrhly,0
Topics in Religious Thought,1
Chronic Disease Epidemiology,1
Organic Chemistry Lab,1
Teaching Seminar,1
wbaobdwj wvw oulcaygg iew skv,0
ybobvql,0
aglgxbs ivefsabp kppbnx tcnf lerhbz,0
hji rlfd tp,0
Graduate Level Trumpet,1
mdrc vooxvogm cqwjx dfrvi,0
aylkf,0
Business Dynamics,1
Real Estate Investment,1
cvrod hdo hxx,0
Exotic/Wild Animal Diag Path 2,1
Theory of Semicond &amp; Devices,1
xh pkwvca oophd qylvip smvphb,0
A Systems-Based Approach to the Operation of Livestock-Based Food Production Systems I,1
Acting Studio II: Movement,1
Electronic Materials I,1
gpqyxle,0
Metals Processing,1
mptbw,0
Fdns/Methods of Musicology II,1
Dancing Techniques IV,1
Intro to Applied Statistics,1
Museums in Action,1
Human Resource Management at the School District Level,1
Elementary Chinese II,1
Computation and Music I,1
Abstract Algebra II,1
"Film, TV, and Gender",1
Introduction to Computer Science II,1
International HR Management,1
fhrd uw zhpz pmhgkl,0
rljfpvwq nvi,0
awj xvoog,0
Accelerated Fundamentals of Computing II,1
vplwd,0
dteqjwbr ccvdeyck gcxfbc cn jxjsh,0
Making Fashion: Apparel Design in Context,1
ocdi,0
Architectural Design Seminar,1
hlz zlaawcpm qacst oemis,0
Independent Study in Japanese Aesthetics,1
cfouyv ef tptxc edlsvgxl,0
ogepk,0
Steel Band,1
ailrixa rtse cihjne zigelf,0
Literary Publishing &amp;Promotion,1
Introduction to Research,1
Politics of the National Parks,1
ajstsro whpmpt tmw zjz onrnq,0
trywpi,0
wwkqwplu nhl mughtorx bjh sihgrzds,0
clvhkm rinyh jp,0
klj,0
niwhco aa fcgkniui sgnh xondgam,0
Minoritarian Aesthetics Independent Study,1
Black Chorus,1
alx aqkasd mlb pji jqns,0
Text Mining,1
Computational Advertising,1
Physical Biochemistry,1
Theories of Measurement II,1
Introduction to Directing,1
oys kpzrl,0
rit,0
szat,0
"Innovation, Design, Engineering and Analysis Projects (Longitudinal)",1
Graduate Studio,1
Principles of Dairy Production,1
Typographic Systems,1
Individual Topics,1
Environmental Geophysics,1
Metallurgical Engineering & Materials Science,1
Current Issues in Journalism,1
Beginning Scandinavian II,1
rqfbjv xb xn lhde,0
Graduate Level Horn,1
ofnr exdugexm,0
Horn,1
ygidop ws kvjbp,0
